time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,place,horizontalError,depthError,magError,magNst,tipo sismicidad
2019-07-14T15:56:39.758Z,-40.356,-71.733,92.13,4.3,mb,,36,0.087,0.56,us,us70004k48,"18 km NNE of Chicureo Abajo, Chile",3.8,5.9,0.16,11,0
2019-07-13T01:02:23.288Z,-40.337,-71.575,47.02,4.5,mb,,142,0.188,1.16,us,us70004jeb,"38 km SW of Ovalle, Chile",6.7,4.8,0.22,7,1
2019-07-12T09:25:03.015Z,-40.319,-71.334,50.31,4.6,mb,,43,0.158,0.78,us,us70004iw6,"Near the coast of Coquimbo, Chile",4.7,4.6,0.071,59,1
2019-07-12T07:24:37.762Z,-40.267,-72.134,27.19,4.4,mwr,,145,0.34,0.7,us,us70004itm,"72 km SSW of Iquique, Chile",4.6,6.1,0.055,32,1
2019-07-09T06:12:33.604Z,-40.26,-71.774,106.26,4.1,mb,,120,0.293,0.44,us,us70004fjb,"4 km ESE of Teno, Chile",4.8,8.3,0.233,5,0
2019-07-09T01:07:55.411Z,-40.233,-71.341,156.08,4.7,mb,,58,0.34,0.65,us,us70004fdj,"27 km NNW of Las Ovejas, Argentina",8.2,7.9,0.112,24,0
2019-07-08T21:05:37.943Z,-40.232,-71.51,102.57,4,mb,,136,0.263,0.88,us,us70004f5w,"17 km SSE of Tacna, Peru",8.8,6.1,0.183,8,0
2019-07-08T16:05:53.815Z,-40.137,-72.166,84.99,4.1,mb,,120,0.391,0.43,us,us70004eun,"33 km ESE of Arica, Chile",9.3,8.7,0.37,2,0
2019-07-08T11:24:02.541Z,-40.1358,-72.1616,25.7,4.1,mb,,191,0.428,0.88,us,us70004enk,"48 km WNW of Valparaíso, Chile",5.7,4.8,0.301,3,1
2019-07-04T00:01:54.482Z,-40.113,-71.863,115.65,4.5,mb,,68,0.767,0.73,us,us700049pt,"57 km S of Calingasta, Argentina",5.6,6.6,0.15,13,0
2019-07-02T15:17:56.363Z,-40.069,-72.339,35.43,4,ml,,101,0.192,0.59,us,us700048ni,"22 km W of Ovalle, Chile",3.2,18.4,0.052,48,1
2019-06-30T05:50:59.675Z,-40.045,-71.747,41.04,4.5,mb,,146,0.544,0.34,us,us700047l0,"33 km WNW of Illapel, Chile",2.9,7.4,0.091,36,1
2019-06-29T04:57:03.542Z,-40.005,-71.263,58.13,4.5,mb,,132,0.291,0.57,us,us7000476a,"26 km S of Coquimbo, Chile",7.8,6,0.243,5,1
2019-06-28T08:30:42.818Z,-39.992,-70.781,78.31,5,mww,,123,0.448,0.72,us,us700046ge,"64 km NNE of La Serena, Chile",6,3.8,0.069,20,0
2019-06-27T11:45:34.543Z,-39.983,-72.051,73.43,4.1,mb,,99,0.298,1.17,us,us70004b84,"28 km E of Arica, Chile",6,8.5,0.262,4,0
2019-06-26T07:29:48.478Z,-39.957,-71.198,39.14,4.2,mwr,,183,0.495,0.49,us,us7000456w,"53 km NNW of La Serena, Chile",7.8,6.4,,,1
2019-06-26T01:41:07.507Z,-39.931,-72.316,108.97,4.3,mb,,72,0.522,0.64,us,us70004518,"66 km NE of Los Andes, Chile",4.9,6.7,0.217,6,0
2019-06-24T10:33:18.394Z,-39.901,-71.228,35,4.4,mb,,163,0.703,1.12,us,us6000456b,"48 km WNW of Ovalle, Chile",3.1,2,0.219,6,1
2019-06-23T17:09:23.030Z,-39.8785,-71.7173,31.57,4.3,mwr,,137,0.589,1.01,us,us600044vy,"22 km WNW of Tocopilla, Chile",5.2,4.5,0.041,58,1
2019-06-15T10:37:14.889Z,-39.87,-71.355,10,4.4,mwr,,149,0.73,0.65,us,us6000413v,"71 km W of Coquimbo, Chile",4.2,1.9,0.038,65,1
2019-06-14T04:21:23.025Z,-39.8546,-71.417,12.04,4.4,mwr,,142,0.735,0.99,us,us600040l3,"73 km W of Coquimbo, Chile",4,3.3,0.036,75,1
2019-06-14T04:14:36.236Z,-39.8053,-71.655,84.37,4.1,mwr,,48,0.158,0.7,us,us600040l2,"23 km SW of Los Andes, Chile",4,5.1,,,0
2019-06-14T01:38:26.020Z,-39.771,-72.287,10,4.5,mwr,,93,0.693,0.86,us,us600040jr,"79 km WSW of Coquimbo, Chile",5,1.9,0.061,26,1
2019-06-14T00:24:13.783Z,-39.76,-71.366,10,4.8,mb,,173,0.812,0.73,us,us600040je,"96 km W of Coquimbo, Chile",5.2,2,0.279,4,1
2019-06-14T00:19:12.401Z,-39.736,-72.468,11,6.4,mww,,30,0.727,0.87,us,us600040ja,"72 km W of Coquimbo, Chile",4.1,1.6,0.035,80,1
2019-06-13T22:50:11.138Z,-39.617,-70.716,47.51,5,mww,,81,0.319,0.54,us,us600040ir,"24 km NW of Ovalle, Chile",4,4.6,0.06,27,1
2019-06-13T16:12:32.165Z,-39.503,-72.4943,59.68,4.3,mwr,,136,0.461,1.14,us,us600040dd,"39 km WSW of Vallenar, Chile",5.1,4.9,0.056,31,1
2019-06-11T05:00:53.179Z,-39.401,-72.313,58.41,4.3,mwr,,137,0.516,0.77,us,us70003xys,"46 km SSW of Arica, Chile",4,4.5,0.065,23,1
2019-06-10T03:17:01.885Z,-39.3845,-71.8027,49.86,4.3,mwr,,76,0.604,0.75,us,us70003xjl,"36 km WSW of Salamanca, Chile",4.6,2.4,0.041,58,1
2019-06-09T22:00:51.604Z,-39.371,-71.304,10,4.2,mb,,186,0.859,0.76,us,us70003xi6,"97 km W of Copiapó, Chile",3.9,1.9,0.263,4,1
2019-06-08T13:44:07.995Z,-39.354,-71.411,87.97,4.7,mb,,82,0.308,1.08,us,us70003x7p,"15 km ENE of Loncoche, Chile",7,8.2,0.174,10,0
2019-06-05T16:19:42.443Z,-39.3352,-72.4543,75.21,5.3,mww,,52,0.154,0.95,us,us70003vu4,"14 km ESE of Copiapó, Chile",5.3,3.8,0.068,21,0
2019-06-04T12:13:06.666Z,-39.229,-71.776,20.51,4.4,mb,,150,0.452,1.02,us,us70003v8q,"83 km SW of Coquimbo, Chile",3.6,7,0.239,5,1
2019-06-04T10:33:39.620Z,-39.223,-71.82,29.94,4.4,mwr,,149,0.615,0.66,us,us70003v83,"66 km WNW of La Ligua, Chile",2.6,5.2,0.037,70,1
2019-06-03T08:42:12.461Z,-39.221,-72.246,47.38,5.2,mww,,82,0.676,0.89,us,us70003uny,"68 km NNW of Iquique, Chile",5.2,4.3,0.073,18,1
